selected_blocks,window_size,rul_cap,rf_max_depth,rf_min_samples_leaf,rf_min_samples_split,rf_max_features,MAE,RMSE,R2,mean_error,overestimation_share,max_overestimation,near_failure_MAE,warning_zone_MAE,feature_count,train_seconds,fitness,candidate_hash,status,from_cache
"['last_minus_mean', 'mean', 'slope', 'slope_change', 'std', 'volatility']",100,,16,4,10,0.6,6.700533108352286,9.981111530962696,0.9230317714822145,3.940618653658425,0.67,34.78723131968408,4.12878991221993,8.442631215546994,187,60.057735800000046,11.092158489542284,1f251a311c4b6c9d9c38593007e33359,ok,False
"['last_minus_mean', 'mean', 'slope', 'slope_change', 'std', 'volatility']",100,125.0,16,4,10,0.6,6.700533108352286,9.981111530962696,0.9230317714822145,3.940618653658425,0.67,34.78723131968408,4.128789912219931,8.442631215546994,187,61.68403770000009,11.092158489542284,47c0a901a5dfdd25f841ab619a4eabc3,ok,False
"['last_minus_mean', 'mean', 'relative_last_minus_mean', 'slope', 'slope_change', 'volatility']",100,130.0,16,4,10,0.6,6.730955314778759,9.619128773813834,0.9285133161024267,3.783583201975187,0.68,32.403749518274026,4.202039761212994,8.605823840373136,187,62.49214770000003,11.103463934838945,37a068ea6aa1269c9e08a796b2d08abf,ok,False
"['last_minus_mean', 'mean', 'slope', 'slope_change', 'volatility']",100,130.0,16,4,10,0.6,6.739936471835311,9.775512598180315,0.9261700195311411,3.723621678582776,0.7,31.325246749386793,4.194162806059595,8.60403564506085,163,59.71645269999999,11.159388324604118,279244f39ffce5a97a8855b4d0b63c41,ok,False
"['edge_means', 'first', 'last', 'max', 'min', 'range', 'relative_delta', 'relative_last_minus_mean', 'rms', 'slope', 'slope_change', 'std', 'tail_quantiles', 'volatility']",80,125.0,16,3,5,0.4,6.82716647190881,10.292662095655977,0.9181518053298663,3.780323607782603,0.69,33.96665135082142,3.8806309128219234,8.618563428715747,427,78.88962700000002,11.261359022607834,0667e9dd94468dac419eec524dd2a320,ok,False
"['edge_means', 'first', 'last', 'max', 'min', 'range', 'relative_delta', 'relative_last_minus_mean', 'rms', 'slope', 'slope_change', 'std', 'tail_quantiles', 'volatility']",80,150.0,16,3,5,0.4,6.827166471908808,10.29266209565598,0.9181518053298663,3.780323607782603,0.69,33.96665135082142,3.8806309128219234,8.618563428715747,427,80.01953660000004,11.261359022607834,73971c956b3e4407df08d138f006eb7c,ok,False
"['edge_means', 'first', 'max', 'median', 'min', 'range', 'relative_delta', 'relative_last_minus_mean', 'rms', 'robust_spread', 'slope', 'tail_quantiles', 'volatility']",100,,20,2,4,,7.143228008993267,10.418533803768412,0.9161376777504899,3.8450998407277335,0.68,26.41792517006803,4.414191151110794,9.039644763906823,403,95.2237146,11.370486846740445,13f7d88e1fc03c0d617fef0c7e05aaed,ok,False
"['edge_means', 'first', 'max', 'median', 'min', 'range', 'relative_delta', 'relative_last_minus_mean', 'rms', 'robust_spread', 'slope', 'tail_quantiles', 'volatility']",100,130.0,20,2,4,,7.143228008993267,10.41853380376841,0.9161376777504899,3.8450998407277326,0.68,26.41792517006803,4.414191151110794,9.039644763906823,403,54.95241249999998,11.370486846740445,8f7c6edbc24864eed4004022f9d87a83,ok,False
"['last_minus_mean', 'mean', 'slope', 'std', 'volatility']",50,,16,4,10,0.6,7.539331341803412,10.437321248828606,0.9158349519770369,3.7891858542823575,0.64,34.27817610515129,4.966859660903138,9.20759723210243,163,83.59377109999991,11.893329287114298,c03e1c93bc54d09ce492393e64c3cdd2,ok,False
"['delta', 'first', 'iqr', 'max', 'min', 'range', 'relative_delta', 'rms', 'robust_spread', 'slope', 'std']",80,150.0,24,5,5,,7.443104846667208,11.102669047110144,0.9047623955691358,3.520781909922709,0.7,37.79371656931667,4.2671618214489415,8.68088922057773,307,91.77841790000002,12.065524858285734,226b8f08f3315ef17f636586b8021c80,ok,False
"['edge_means', 'first', 'median', 'min', 'range', 'relative_delta', 'relative_last_minus_mean', 'rms', 'robust_spread', 'slope', 'tail_quantiles', 'volatility']",60,130.0,20,2,4,,7.873205203635047,11.354821554122172,0.9003873942218793,4.655193353593054,0.68,35.30229040625417,4.620348093886044,9.97577075483451,379,129.14117169999986,12.420932593526938,57aff0564fd9c8b394414a4395513d1b,ok,False
"['edge_means', 'first', 'iqr', 'last', 'max', 'mean', 'median', 'min', 'range', 'relative_delta', 'relative_last_minus_mean', 'rms', 'slope', 'std']",50,,20,3,5,,7.804213024206072,11.313012261933961,0.9011196056607432,4.151550403168432,0.7,37.703936917480405,4.732487318084846,9.913502060370627,403,79.0404021,12.510470199592095,e722a2b98432005e2fb4b3214deef2fc,ok,False
"['delta', 'edge_means', 'median', 'range', 'robust_spread', 'tail_quantiles']",100,130.0,16,5,4,0.6,7.962179779302936,11.802272277188175,0.8923819959402404,4.632114276614298,0.68,40.18559263477559,4.52864054428332,10.747389821068525,235,57.552098,12.67993439473161,fa359d6b1447c0680c8fc820df9f6095,ok,False
"['last', 'median', 'rms', 'std', 'volatility']",100,,24,1,10,0.6,8.210340010096735,11.956377888066786,0.8895532503612458,5.089214560917719,0.7,38.31322500630543,4.2479792555741716,10.169031084881656,163,57.4118728,12.906336344127096,7010f628f2b8f23b01c2170791b7c58a,ok,False
"['delta', 'edge_means', 'first', 'max', 'mean', 'range', 'relative_delta', 'rms', 'robust_spread', 'slope_change', 'tail_quantiles', 'volatility']",100,,12,4,2,,8.457474153559104,12.684934931999818,0.8756831029233885,4.555997653009996,0.66,38.9195613967309,4.67806322724794,10.606523299296262,379,83.33033149999994,13.063566985612717,2898e0487ceb31f75d24456842d49660,ok,False
"['delta', 'first', 'iqr', 'max', 'median', 'relative_last_minus_mean', 'slope_change', 'volatility']",100,120.0,16,3,4,,8.81089293968302,12.836291925479008,0.8726986982291682,4.8799485341090145,0.67,44.43278344671198,5.398243880305416,12.198245178375881,235,68.15733680000005,13.743665760643847,6ee505ee8badf87432c58a78b38ea367,ok,False
"['delta', 'edge_means', 'first', 'last_minus_mean', 'max', 'mean', 'median', 'min', 'range', 'slope', 'slope_change', 'std', 'tail_quantiles', 'volatility']",40,125.0,24,3,2,0.4,8.914919693525,12.880782994855908,0.8718147067301806,5.435051635791212,0.7,38.14656204259725,5.594133532066224,11.456954279364052,427,100.85376980000001,13.765125408542778,a0f534b1f9e95faf884488db1b38a229,ok,False
"['first', 'max', 'median', 'tail_quantiles']",40,125.0,24,2,8,sqrt,9.618495777700804,13.056079203465332,0.8683019859348813,6.556682296411791,0.77,37.17709339899169,6.9075208408209,12.24850648071312,163,72.272471,14.856350506164752,dbe89deb994fbf24e8d3cd7b5f9399ca,ok,False
"['delta', 'first', 'median', 'relative_last_minus_mean']",50,120.0,20,1,2,0.8,12.265250387865057,16.32232488471042,0.7941657174844629,8.084881583435076,0.77,50.7,9.717780604058209,15.253583104431106,139,83.6001013,18.25381616036696,2523459e880bdf90906b57b0942f0da2,ok,False
