shift,MAE,RMSE,R2,mean_error,overestimation_share,max_overestimation,near_failure_MAE,warning_zone_MAE,candidate_hash
10.0,14.357182479915153,20.58881045889912,0.7545274315371155,-3.436355233224366,0.24,106.48544314422739,7.578028178428501,9.172047031342926,1f251a311c4b6c9d9c38593007e33359
10.5,14.591409170276222,20.667367428681953,0.7526506480673794,-3.9105819235854393,0.24,105.98544314422739,7.974934939872794,9.554399972519395,1f251a311c4b6c9d9c38593007e33359
11.0,14.821409170276224,20.75513571036646,0.7505453461247282,-4.3805819235854395,0.24,105.48544314422739,8.354934939872795,9.936752913695866,1f251a311c4b6c9d9c38593007e33359
11.5,15.051846804339856,20.853712349469916,0.7481701462841004,-4.850403816645795,0.23,104.98544314422739,8.734222512114215,10.319105854872337,1f251a311c4b6c9d9c38593007e33359
12.0,15.286846804339858,20.960444236014656,0.7455857566946109,-5.315403816645795,0.23,104.48544314422739,9.094222512114214,10.701458796048808,1f251a311c4b6c9d9c38593007e33359
12.5,15.517883396760379,21.075939224417283,0.7427743159116755,-5.776440409066316,0.23,103.98544314422739,9.438368881796304,11.083811737225277,1f251a311c4b6c9d9c38593007e33359
13.0,15.747883396760379,21.201218233875082,0.7397072398515803,-6.236440409066316,0.23,103.48544314422739,9.778368881796304,11.466164678401748,1f251a311c4b6c9d9c38593007e33359
13.5,15.977718315414629,21.336381109920143,0.7363778024306193,-6.69627532772057,0.23,102.98544314422739,10.11770855641331,11.84851761957822,1f251a311c4b6c9d9c38593007e33359
14.0,16.20271831541463,21.476613657545684,0.7329011210832145,-7.151275327720567,0.23,102.48544314422739,10.43770855641331,12.23087056075469,1f251a311c4b6c9d9c38593007e33359
14.5,16.42405063493442,21.62371380128356,0.7292297006329712,-7.60260764724036,0.23,101.98544314422739,10.743037834492473,12.61322350193116,1f251a311c4b6c9d9c38593007e33359
15.0,16.650250518087145,21.779178272080458,0.7253222789913832,-8.052607647240357,0.22,101.48544314422739,11.043037834492473,12.99557644310763,1f251a311c4b6c9d9c38593007e33359
15.5,16.88905213055416,21.943796705545324,0.7211542702157118,-8.502607647240358,0.21,100.98544314422739,11.343037834492472,13.429703575266535,1f251a311c4b6c9d9c38593007e33359
16.0,17.129157533100173,22.117364705170964,0.7167256743059567,-8.952607647240358,0.2,100.48544314422739,11.643037834492473,13.87088004585477,1f251a311c4b6c9d9c38593007e33359
16.5,17.379157533100173,22.2996732969069,0.712036491262118,-9.402607647240357,0.2,99.98544314422739,11.943037834492472,14.312056516443006,1f251a311c4b6c9d9c38593007e33359
17.0,17.633055324767355,22.49050992743435,0.7070867210841959,-9.852607647240358,0.19,99.48544314422739,12.243037834492473,14.75323298703124,1f251a311c4b6c9d9c38593007e33359
17.5,17.89333414014466,22.689659416643153,0.7018763637721902,-10.30260764724036,0.18,98.98544314422739,12.543037834492473,15.194409457619475,1f251a311c4b6c9d9c38593007e33359
18.0,18.15961209537848,22.894598696533784,0.6964665719546359,-10.748885602474179,0.18,98.48544314422739,12.82814965542776,15.63558592820771,1f251a311c4b6c9d9c38593007e33359
