model_name,source,candidate_hash,window_size,rul_cap,selected_blocks,feature_count,train_seconds,validation_MAE,validation_fitness,official_original_MAE,official_original_RMSE,official_original_R2,official_original_mean_error,official_original_overestimation_share,official_original_max_overestimation,official_near_failure_MAE,official_warning_zone_MAE,recommended_shift,official_calibrated_MAE,official_calibrated_RMSE,official_calibrated_R2,official_calibrated_mean_error,official_calibrated_overestimation_share,official_calibrated_max_overestimation,official_calibrated_near_failure_MAE,official_calibrated_warning_zone_MAE
candidate_11,top_fitness,1bc0f70ad5a5e2379fef6fca8b313d4e,100,120.0,"[""last_minus_mean"", ""mean"", ""slope"", ""slope_change"", ""std"", ""volatility""]",144,22.819583800000146,5.741611929806115,10.041710555701878,10.630604260976941,14.814175486641345,0.8729146686298691,-3.9648700343198344,0.45,36.33249027284269,3.163543720125684,5.944209695965768,0.5,10.7031914217819,14.955756931139431,0.8704739110681402,-4.464870034319834,0.42,35.83249027284269,3.037194091881196,5.797150872436356
candidate_14,top_fitness,dc474d2ab1369488c85343390d0f536b,100,120.0,"[""iqr"", ""last_minus_mean"", ""mean"", ""slope"", ""slope_change"", ""std"", ""volatility""]",168,22.811815900000056,5.932775420761224,10.26203776712902,10.722818111567928,14.911347901040147,0.8712419882625448,-3.9325415684389746,0.46,33.853974915063134,3.252212160985585,6.072971655980428,0.5,10.787452840815668,15.050941425515326,0.868819951550312,-4.432541568438975,0.41,33.353974915063134,3.0907510779765364,5.925912832451016
candidate_17,top_low_overestimation,399899c928f3cae5fd2848c7cc3d4003,80,130.0,"[""last_minus_mean"", ""mean"", ""slope"", ""slope_change"", ""volatility""]",120,23.970880899999884,6.527768735044316,11.169740331610306,10.860086537388248,14.894583041237583,0.8715313513120375,-2.7001083018197147,0.48,44.9590297511631,3.8195042913507926,6.025017158445303,0.5,10.88886753749433,14.993288907846134,0.8698229951617992,-3.2001083018197147,0.47,44.4590297511631,3.554628291775109,5.936781864327656
candidate_18,top_low_overestimation,226b8f08f3315ef17f636586b8021c80,80,150.0,"[""delta"", ""first"", ""iqr"", ""max"", ""min"", ""range"", ""relative_delta"", ""rms"", ""robust_spread"", ""slope"", ""std""]",264,66.16233659999989,6.772193870465149,11.464050308963074,11.344173866140306,16.341042068254247,0.8453677939107533,-0.5041587330689832,0.55,57.84444299965665,3.9647957760342507,5.616693472771429,1.5,11.255185417817604,16.45576288342968,0.843189009711178,-2.004158733068983,0.49,56.34444299965665,3.523833689313783,5.237367379458746
candidate_20,top_low_overestimation,5cdd91d56d4a0a46392f8a5ce2435067,100,120.0,"[""last_minus_mean"", ""slope"", ""slope_change"", ""std"", ""volatility""]",120,19.937720699999772,7.112129656115245,11.938037717780393,11.576187418456787,15.26849783685379,0.8650002141481853,-5.0489398419201175,0.4,31.390296990954994,5.256715755750041,7.840676802914571,0.5,11.695615928518068,15.44104808735239,0.861931690710214,-5.548939841920116,0.37,30.890296990954994,5.2367157557500414,7.776689235034396
candidate_1,cap_none,1f251a311c4b6c9d9c38593007e33359,100,,"[""last_minus_mean"", ""mean"", ""slope"", ""slope_change"", ""std"", ""volatility""]",144,33.17484959999979,7.638284648657999,12.943393284458427,12.827176892707437,21.336564661848325,0.7363732666501079,6.435243943052577,0.66,116.48544314422739,3.2897226087897415,5.733078723183399,3.0,12.306950456931428,20.63098465684368,0.7535207476517513,3.4352439430525776,0.5,113.48544314422739,2.94564696076139,5.35903980543991
candidate_5,cap_none,e722a2b98432005e2fb4b3214deef2fc,50,,"[""edge_means"", ""first"", ""iqr"", ""last"", ""max"", ""mean"", ""median"", ""min"", ""range"", ""relative_delta"", ""relative_last_minus_mean"", ""rms"", ""slope"", ""std""]",360,178.64642780000008,8.895202756482314,15.113801156418171,13.526597004429625,20.66538002696285,0.7526982166697502,7.951284875882912,0.69,83.24050454570207,3.3530802590511506,8.829374243792865,4.5,12.699206707567168,19.384178284772577,0.7824118463977542,3.4512848758829127,0.51,78.74050454570207,3.632755142501037,8.050499294795074
candidate_2,cap_none,7010f628f2b8f23b01c2170791b7c58a,100,,"[""last"", ""median"", ""rms"", ""std"", ""volatility""]",120,24.720730100000083,8.154032480992521,13.15496406579571,13.472816519771127,19.910832646469586,0.770427797978655,4.704727654885831,0.58,75.66488095269236,3.871455910329424,10.977317437178181,2.5,13.234467697062495,19.472226847520286,0.780430659963387,2.2047276548858306,0.5,73.16488095269236,3.3962568994713735,10.554643217700391
candidate_3,cap_none,c03e1c93bc54d09ce492393e64c3cdd2,50,,"[""last_minus_mean"", ""mean"", ""slope"", ""std"", ""volatility""]",120,44.99609340000006,8.00769716139721,14.258816703099962,14.631349114350133,20.948341930864284,0.7458794632481764,8.565082338282593,0.71,77.6357260315257,3.6292698626211575,8.046903388068205,5.0,13.582833530330928,19.446907370314204,0.7810012949040385,3.565082338282594,0.48,72.6357260315257,3.674008880499563,6.815718438549975
candidate_16,top_low_overestimation,6ee505ee8badf87432c58a78b38ea367,100,120.0,"[""delta"", ""first"", ""iqr"", ""max"", ""median"", ""relative_last_minus_mean"", ""slope_change"", ""volatility""]",192,37.2097246000003,6.5669811881274756,11.002666858553068,13.613016489899623,18.506641418213505,0.8016666825437568,-5.092001455496253,0.42,41.138262727763774,5.173514750529696,10.425184148492642,1.0,13.790046860107966,18.806376032966266,0.7951902219522956,-6.092001455496254,0.39,40.138262727763774,4.926459534579031,10.248713560257347
candidate_23,top_low_overestimation,2523459e880bdf90906b57b0942f0da2,50,120.0,"[""delta"", ""first"", ""median"", ""relative_last_minus_mean""]",96,29.331552099999953,9.303598629028214,15.208809154953657,14.048130203120024,18.002493546927933,0.8123252769594288,-2.5728507423790807,0.56,41.31907816802979,8.303597032656485,12.310532752309019,1.5,13.924608641021273,18.277262544875782,0.8065526626131359,-4.072850742379081,0.51,39.81907816802979,7.386342487201939,11.70568467009368
candidate_21,top_low_overestimation,701e03961942f740efef19f1b7e16fe7,60,120.0,"[""delta"", ""first"", ""iqr"", ""median"", ""relative_last_minus_mean"", ""slope_change"", ""volatility""]",168,48.12985220000019,7.8759161690184465,12.539415500568719,14.289497609319374,19.155449122584116,0.7875165379667877,-2.297968731471291,0.45,48.88643568611579,4.8293200242677505,17.91285426190502,1.0,14.389945326554784,19.300962891805455,0.7842760283979455,-3.2979687314712907,0.44,47.88643568611579,4.551110893209397,17.26579543837561
candidate_24,top_low_overestimation,dbe89deb994fbf24e8d3cd7b5f9399ca,40,125.0,"[""first"", ""max"", ""median"", ""tail_quantiles""]",120,2.4138370000000577,11.248843751477393,17.137048608588096,14.92518843121155,20.278147870034907,0.7618793677073235,-0.036551159196809416,0.54,53.223355547230526,9.839103278633987,19.30051707594953,1.0,14.868834032105024,20.304590204123667,0.7612579529123711,-1.0365511591968093,0.49,52.223355547230526,9.140852853405624,19.006399428890706
candidate_4,cap_none,2898e0487ceb31f75d24456842d49660,100,,"[""delta"", ""edge_means"", ""first"", ""max"", ""mean"", ""range"", ""relative_delta"", ""rms"", ""robust_spread"", ""slope_change"", ""tail_quantiles"", ""volatility""]",336,90.69798550000019,8.817830673052267,14.614679223198335,15.527303681828409,21.62054520583604,0.7293090485827072,4.473192146082891,0.62,68.48780536670091,3.5067160591104467,11.86653117328784,4.0,15.05724993000953,21.158034829088848,0.7407665073095636,0.47319214608289,0.49,64.48780536670091,3.0369880429687366,10.733462068679279
candidate_22,top_low_overestimation,57c35bd4df3a428bf23e081e0d374b4c,100,,"[""delta"", ""first"", ""iqr"", ""max"", ""median"", ""relative_last_minus_mean"", ""slope_change"", ""volatility""]",192,37.909445900000264,9.51170080974336,14.927629707946057,17.09616435932102,23.587949550907613,0.6778034867159843,2.7475605587590777,0.56,65.44657818789388,4.500468661404494,12.871395399796151,2.0,16.978306114877388,23.439307194990352,0.6818514138061573,0.747560558759077,0.48,63.44657818789388,4.2183217989500275,12.287493586874273
